module,capability,user_scenario,ui_status,backend_status,database_status,integration_status,test_status,primary_status,user_readiness,evidence,blocker,recommended_action,priority
M2,References,Designer links source references,read_only,foundation_present,source_revisions_present,partial,contract_tests_present,PARTIAL,INTERNAL_ONLY,"ProjectCEO sources/evidence views",no M2 authoring flow,Connect room design revision,P1
M2,Decisions,Team records design decision,read_ui,workflow_foundation,present,partial,tests_present_not_run,BACKEND_ONLY,INTERNAL_ONLY,"Product Brain decisions; workspace views",write UX incomplete,Complete decision command/UI,P1
M2,Selections,Team approves material/item,read_ui,workflow_foundation,present,disconnected,tests_present_not_run,BACKEND_ONLY,BLOCKED_FOR_USERS,"selections/approval packages; review_selection unavailable",command disabled,Complete selection write/review,P1
M2,Room budget,Designer sees linked budget,absent,price_observation_foundation,present,disconnected,tests_present_not_run,BACKEND_ONLY,BLOCKED_FOR_USERS,"price_observations",no room/item budget UX,Selection budget slice,P1
M2,Client approval,Client approves design revision,partial,approval_foundation,present,disconnected,tests_present_not_run,PARTIAL,BLOCKED_FOR_USERS,"approval packages/read views",no complete M2 client flow,One exact revision approval,P1
M2,M2 to M3 handoff,Approved design becomes M3 input,absent,contracts_partial,present,disconnected,not_found,DISCONNECTED,BLOCKED_FOR_USERS,"no materializer/handler found",two data models,Immutable handoff bridge,P0
M3,Source registry,Architect sees package sources,connected,read_backend,present,read_connected,tests_present_not_run,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"workspace sources; source inventory",register command unavailable,Enable bounded source command,P0
M3,File upload,Architect uploads document revision,ui_partial,authorization_backend,present,disconnected,storage_tests_present,PARTIAL,BLOCKED_FOR_USERS,"authorize_source_upload; register_source unavailable",no primary UI write path,Complete upload/register/reopen,P0
M3,Document revision,Architect creates new exact revision,read_ui,backend_foundation,present,disconnected,db_tests_documented,BACKEND_ONLY,INTERNAL_ONLY,"source revisions/materializations",user command absent,Add revision flow,P0
M3,Drawings/specs/schedules,Architect categorizes production docs,read_generic,generic_source_backend,generic_tables,partial,not_found,PARTIAL,BLOCKED_FOR_USERS,"source media/kind mapping",no sheet/room/spec workflow,Bound M3 document model,P1
M3,Comments/review,Architect resolves remark,read_ui,review_backend,present,disconnected,contract_tests_present,PARTIAL,BLOCKED_FOR_USERS,"review state; review_source unavailable",command disabled,Complete review workflow,P0
M3,Completeness check,Architect checks package completeness,absent,partial_rules,partial,disconnected,not_found,NOT_IMPLEMENTED,BLOCKED_FOR_USERS,"no product checklist route found",Project Check absent,Implement explainable check,P2
M3,Baseline,Authorized role publishes baseline,read_ui,backend_foundation,present,disconnected,db_tests_documented,BACKEND_ONLY,BLOCKED_FOR_USERS,"project_baselines; publish_baseline unavailable",command disabled,Complete baseline command,P0
M3,Package release,Architect publishes immutable version,read_ui,backend_foundation,present,disconnected,db_tests_documented,BACKEND_ONLY,BLOCKED_FOR_USERS,"production_package_versions; publish_release unavailable",command disabled,Complete release command,P0
M3,Distribution acknowledgement,Recipient receives exact release,connected,implemented,present,connected,tests_and_past_e2e,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"distribution/ack command; guest route",fresh environment not run,Fresh five-role E2E,P0
M3,Role isolation,Architect/client/builder see scoped data,connected,implemented,rls_rpc,connected,tests_and_past_e2e,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"request-context; role-policy; AP1 docs",production adoption NO-GO,Hosted security gate,P0
M4,Change impact,Builder/team reviews change impact,connected,implemented,present,connected,tests_and_past_e2e,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"projectceo_m4; command-service",thin seeded slice,Keep narrow,FUTURE
M4,Photo milestone,Photo review and acceptance,connected,implemented,present,connected,tests_and_past_e2e,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"photo/milestone commands",fresh E2E absent,Keep narrow,FUTURE
M4,Handover,Close construction handover,read_ui,backend_foundation,present,disconnected,db_tests_documented,BACKEND_ONLY,INTERNAL_ONLY,"handover tables; build_handover unavailable",command disabled,Defer until wedge,FUTURE
CORE,Project memory,Recall shared project facts/history,partial,strong_foundation,present,partial,tests_present_not_run,PARTIAL,INTERNAL_ONLY,"PI graph/audit vs legacy passport",dual data contour,Compatibility bridge,P0
CORE,Project Check,READY CONDITIONAL BLOCKED,absent,absent,absent,absent,not_found,NOT_IMPLEMENTED,BLOCKED_FOR_USERS,"no mechanism found",check model absent,Build over M1-M3,P2
CORE,Evidence layer,Trace revision/source/author,read_ui,implemented,present,connected_in_PI,tests_present_not_run,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"evidence_links/revision refs",legacy M1 lacks same rigor,Bridge M1 evidence,P2
CORE,Decision log,Record decision basis/status,read_ui,implemented,present,partial,tests_present_not_run,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"decisions and audit events",write UX incomplete,Complete decision flow,P1
CORE,Approval model,Multiple approval levels,partial,implemented,present,partial,tests_present_not_run,PARTIAL,INTERNAL_ONLY,"approval packages/baseline approvals/proposal response",not unified,Unify exact approvals,P1
CORE,Responsibility model,Derive role/capability server-side,connected,implemented,present,connected,security_tests_present,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"request-context/RPC/RLS",legacy token routes differ,Five-role hosted gate,P0
CORE,Change control,CR impact approval baseline revision,partial_ui,implemented,present,connected_thin,tests_and_past_e2e,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"projectceo_m4 change/impact",not triggered by M1/M2,Connect handoffs,P2
CORE,Version control,Current/superseded immutable history,read_ui,implemented,present,partial,tests_present_not_run,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"PI versions/releases",legacy proposal/concept weak,Unify version lifecycle,P1
CORE,Source invalidation,Replacement marks dependents stale,partial,implemented_partial,present,not_proven,tests_partial,PARTIAL,INTERNAL_ONLY,"exact revisions/impact contracts",end-to-end invalidation not proven,Add invariant/E2E,P2
CORE,Role views,Four workspaces over one project,partial,implemented_scope,present,partial,ui_role_tests_present,PARTIAL,INTERNAL_ONLY,"ProjectCEO role tabs; separate legacy routes",four product workspaces incomplete,Unified role navigation,P2
